scenario,seed,model,true_positives,false_positives,false_negatives,true_negatives,precision,recall,f1_score,false_positive_rate
no_injected_anomalies,1001,Robust Z-score,0,1,0,240,0.0,,,0.004149377593360996
no_injected_anomalies,1001,Isolation Forest,0,1,0,240,0.0,,,0.004149377593360996
no_injected_anomalies,1002,Robust Z-score,0,5,0,236,0.0,,,0.02074688796680498
no_injected_anomalies,1002,Isolation Forest,0,148,0,93,0.0,,,0.6141078838174274
no_injected_anomalies,1003,Robust Z-score,0,0,0,241,,,,0.0
no_injected_anomalies,1003,Isolation Forest,0,3,0,238,0.0,,,0.012448132780082987
no_injected_anomalies,1004,Robust Z-score,0,1,0,240,0.0,,,0.004149377593360996
no_injected_anomalies,1004,Isolation Forest,0,0,0,241,,,,0.0
no_injected_anomalies,1005,Robust Z-score,0,1,0,240,0.0,,,0.004149377593360996
no_injected_anomalies,1005,Isolation Forest,0,0,0,241,,,,0.0
clear_deviations,1001,Robust Z-score,46,1,0,194,0.9787234042553191,1.0,0.989247311827957,0.005128205128205128
clear_deviations,1001,Isolation Forest,26,1,20,194,0.9629629629629629,0.5652173913043478,0.7123287671232876,0.005128205128205128
clear_deviations,1002,Robust Z-score,46,4,0,191,0.92,1.0,0.9583333333333334,0.020512820512820513
clear_deviations,1002,Isolation Forest,41,117,5,78,0.25949367088607594,0.8913043478260869,0.4019607843137255,0.6
clear_deviations,1003,Robust Z-score,46,0,0,195,1.0,1.0,1.0,0.0
clear_deviations,1003,Isolation Forest,30,3,16,192,0.9090909090909091,0.6521739130434783,0.759493670886076,0.015384615384615385
clear_deviations,1004,Robust Z-score,46,1,0,194,0.9787234042553191,1.0,0.989247311827957,0.005128205128205128
clear_deviations,1004,Isolation Forest,21,0,25,195,1.0,0.45652173913043476,0.6268656716417911,0.0
clear_deviations,1005,Robust Z-score,46,0,0,195,1.0,1.0,1.0,0.0
clear_deviations,1005,Isolation Forest,23,0,23,195,1.0,0.5,0.6666666666666666,0.0
mild_deviations,1001,Robust Z-score,4,1,42,194,0.8,0.08695652173913043,0.1568627450980392,0.005128205128205128
mild_deviations,1001,Isolation Forest,6,1,40,194,0.8571428571428571,0.13043478260869565,0.22641509433962265,0.005128205128205128
mild_deviations,1002,Robust Z-score,26,4,20,191,0.8666666666666667,0.5652173913043478,0.6842105263157895,0.020512820512820513
mild_deviations,1002,Isolation Forest,41,117,5,78,0.25949367088607594,0.8913043478260869,0.4019607843137255,0.6
mild_deviations,1003,Robust Z-score,21,0,25,195,1.0,0.45652173913043476,0.6268656716417911,0.0
mild_deviations,1003,Isolation Forest,9,3,37,192,0.75,0.1956521739130435,0.3103448275862069,0.015384615384615385
mild_deviations,1004,Robust Z-score,3,1,43,194,0.75,0.06521739130434782,0.12,0.005128205128205128
mild_deviations,1004,Isolation Forest,3,0,43,195,1.0,0.06521739130434782,0.12244897959183673,0.0
mild_deviations,1005,Robust Z-score,0,0,46,195,,0.0,0.0,0.0
mild_deviations,1005,Isolation Forest,0,0,46,195,,0.0,0.0,0.0
gradual_feed_drift,1001,Robust Z-score,37,1,24,179,0.9736842105263158,0.6065573770491803,0.7474747474747475,0.005555555555555556
gradual_feed_drift,1001,Isolation Forest,7,1,54,179,0.875,0.11475409836065574,0.2028985507246377,0.005555555555555556
gradual_feed_drift,1002,Robust Z-score,53,4,8,176,0.9298245614035088,0.8688524590163934,0.8983050847457628,0.022222222222222223
gradual_feed_drift,1002,Isolation Forest,47,102,14,78,0.31543624161073824,0.7704918032786885,0.44761904761904764,0.5666666666666667
gradual_feed_drift,1003,Robust Z-score,45,0,16,180,1.0,0.7377049180327869,0.8490566037735849,0.0
gradual_feed_drift,1003,Isolation Forest,17,3,44,177,0.85,0.2786885245901639,0.41975308641975306,0.016666666666666666
gradual_feed_drift,1004,Robust Z-score,37,1,24,179,0.9736842105263158,0.6065573770491803,0.7474747474747475,0.005555555555555556
gradual_feed_drift,1004,Isolation Forest,0,0,61,180,,0.0,0.0,0.0
gradual_feed_drift,1005,Robust Z-score,35,1,26,179,0.9722222222222222,0.5737704918032787,0.7216494845360825,0.005555555555555556
gradual_feed_drift,1005,Isolation Forest,8,0,53,180,1.0,0.13114754098360656,0.2318840579710145,0.0
higher_variability_no_anomalies,1001,Robust Z-score,0,1,0,240,0.0,,,0.004149377593360996
higher_variability_no_anomalies,1001,Isolation Forest,0,1,0,240,0.0,,,0.004149377593360996
higher_variability_no_anomalies,1002,Robust Z-score,0,5,0,236,0.0,,,0.02074688796680498
higher_variability_no_anomalies,1002,Isolation Forest,0,148,0,93,0.0,,,0.6141078838174274
higher_variability_no_anomalies,1003,Robust Z-score,0,0,0,241,,,,0.0
higher_variability_no_anomalies,1003,Isolation Forest,0,3,0,238,0.0,,,0.012448132780082987
higher_variability_no_anomalies,1004,Robust Z-score,0,1,0,240,0.0,,,0.004149377593360996
higher_variability_no_anomalies,1004,Isolation Forest,0,0,0,241,,,,0.0
higher_variability_no_anomalies,1005,Robust Z-score,0,1,0,240,0.0,,,0.004149377593360996
higher_variability_no_anomalies,1005,Isolation Forest,0,0,0,241,,,,0.0
higher_variability_clear_deviations,1001,Robust Z-score,39,1,7,194,0.975,0.8478260869565217,0.9069767441860465,0.005128205128205128
higher_variability_clear_deviations,1001,Isolation Forest,25,1,21,194,0.9615384615384616,0.5434782608695652,0.6944444444444444,0.005128205128205128
higher_variability_clear_deviations,1002,Robust Z-score,46,4,0,191,0.92,1.0,0.9583333333333334,0.020512820512820513
higher_variability_clear_deviations,1002,Isolation Forest,41,117,5,78,0.25949367088607594,0.8913043478260869,0.4019607843137255,0.6
higher_variability_clear_deviations,1003,Robust Z-score,30,0,16,195,1.0,0.6521739130434783,0.7894736842105263,0.0
higher_variability_clear_deviations,1003,Isolation Forest,30,3,16,192,0.9090909090909091,0.6521739130434783,0.759493670886076,0.015384615384615385
higher_variability_clear_deviations,1004,Robust Z-score,36,1,10,194,0.972972972972973,0.782608695652174,0.8674698795180723,0.005128205128205128
higher_variability_clear_deviations,1004,Isolation Forest,21,0,25,195,1.0,0.45652173913043476,0.6268656716417911,0.0
higher_variability_clear_deviations,1005,Robust Z-score,27,0,19,195,1.0,0.5869565217391305,0.7397260273972602,0.0
higher_variability_clear_deviations,1005,Isolation Forest,3,0,43,195,1.0,0.06521739130434782,0.12244897959183673,0.0
