scenario,model,runs,true_positives,false_positives,false_negatives,true_negatives,precision,recall,f1_score,false_positive_rate,false_positives_per_batch_mean,false_positives_per_batch_min,false_positives_per_batch_max,batches_with_false_alarms_fraction,recall_min,recall_max
no_injected_anomalies,Robust Z-score,5,0,8,0,1197,0.0,,,0.006639004149377593,1.6,0,5,0.8,,
no_injected_anomalies,Isolation Forest,5,0,152,0,1053,0.0,,,0.12614107883817427,30.4,0,148,0.6,,
clear_deviations,Robust Z-score,5,230,6,0,969,0.9745762711864406,1.0,0.9871244635193133,0.006153846153846154,1.2,0,4,0.6,1.0,1.0
clear_deviations,Isolation Forest,5,141,121,89,854,0.5381679389312977,0.6130434782608696,0.573170731707317,0.12410256410256411,24.2,0,117,0.6,0.45652173913043476,0.8913043478260869
mild_deviations,Robust Z-score,5,54,6,176,969,0.9,0.23478260869565218,0.3724137931034483,0.006153846153846154,1.2,0,4,0.6,0.0,0.5652173913043478
mild_deviations,Isolation Forest,5,59,121,171,854,0.3277777777777778,0.2565217391304348,0.28780487804878047,0.12410256410256411,24.2,0,117,0.6,0.0,0.8913043478260869
gradual_feed_drift,Robust Z-score,5,207,7,98,893,0.9672897196261683,0.6786885245901639,0.7976878612716763,0.0077777777777777776,1.4,0,4,0.8,0.5737704918032787,0.8688524590163934
gradual_feed_drift,Isolation Forest,5,79,106,226,794,0.42702702702702705,0.25901639344262295,0.3224489795918367,0.11777777777777777,21.2,0,102,0.6,0.0,0.7704918032786885
higher_variability_no_anomalies,Robust Z-score,5,0,8,0,1197,0.0,,,0.006639004149377593,1.6,0,5,0.8,,
higher_variability_no_anomalies,Isolation Forest,5,0,152,0,1053,0.0,,,0.12614107883817427,30.4,0,148,0.6,,
higher_variability_clear_deviations,Robust Z-score,5,178,6,52,969,0.967391304347826,0.7739130434782608,0.8599033816425121,0.006153846153846154,1.2,0,4,0.6,0.5869565217391305,1.0
higher_variability_clear_deviations,Isolation Forest,5,120,121,110,854,0.4979253112033195,0.5217391304347826,0.5095541401273885,0.12410256410256411,24.2,0,117,0.6,0.06521739130434782,0.8913043478260869
