batch_id,batch_role,elapsed_time_h,ph,dissolved_oxygen_pct,temperature_c,agitation_rpm,feed_rate_ml_h
REF_001,reference,0,7.096,36.19,36.79,102.3,0.0
REF_001,reference,1,7.109,39.48,36.77,100.3,0.0
REF_001,reference,2,7.109,37.16,36.81,101.3,0.0
REF_001,reference,3,7.084,37.7,36.77,104.6,0.0
REF_001,reference,4,7.087,40.42,36.82,104.9,0.0
REF_001,reference,5,7.097,41.62,36.83,106.6,0.0
REF_001,reference,6,7.092,38.67,36.81,106.4,0.0
REF_001,reference,7,7.093,39.59,36.79,108.0,0.0
REF_001,reference,8,7.085,40.38,36.81,108.7,0.0
REF_001,reference,9,7.097,41.68,36.79,110.5,0.0
REF_001,reference,10,7.095,39.65,36.82,111.5,0.0
REF_001,reference,11,7.088,40.34,36.74,108.7,0.0
REF_001,reference,12,7.095,41.2,36.79,108.7,0.0
REF_001,reference,13,7.088,40.94,36.74,114.4,0.0
REF_001,reference,14,7.076,40.25,36.75,115.5,0.0
REF_001,reference,15,7.084,40.37,36.84,113.1,0.0
REF_001,reference,16,7.072,39.28,36.82,112.6,0.0
REF_001,reference,17,7.086,40.06,36.77,116.4,0.0
REF_001,reference,18,7.077,39.89,36.75,118.4,0.0
REF_001,reference,19,7.075,40.12,36.71,120.5,0.0
REF_001,reference,20,7.069,39.32,36.78,119.4,0.0
REF_001,reference,21,7.083,39.97,36.87,118.8,0.0
REF_001,reference,22,7.071,40.24,36.81,118.8,0.0
REF_001,reference,23,7.068,39.4,36.78,120.9,0.0
REF_001,reference,24,7.067,39.43,36.81,121.1,4.31
REF_001,reference,25,7.073,39.07,36.75,120.8,4.28
REF_001,reference,26,7.07,38.95,36.79,126.1,4.53
REF_001,reference,27,7.069,38.31,36.8,126.3,4.78
REF_001,reference,28,7.068,39.12,36.79,126.0,4.87
REF_001,reference,29,7.081,38.79,36.82,123.6,5.06
REF_001,reference,30,7.06,40.59,36.81,126.9,5.34
REF_001,reference,31,7.058,40.24,36.82,127.2,5.4
REF_001,reference,32,7.054,39.39,36.77,127.5,5.48
REF_001,reference,33,7.064,38.59,36.82,129.3,5.71
REF_001,reference,34,7.067,38.46,36.84,128.9,6.06
REF_001,reference,35,7.056,40.46,36.77,129.6,6.15
REF_001,reference,36,7.05,39.88,36.77,130.0,6.38
REF_001,reference,37,7.049,40.23,36.84,130.1,6.62
REF_001,reference,38,7.06,38.62,36.79,127.4,6.64
REF_001,reference,39,7.059,40.91,36.84,130.7,7.0
REF_001,reference,40,7.057,40.67,36.78,130.3,7.13
REF_001,reference,41,7.046,39.54,36.84,129.7,7.07
REF_001,reference,42,7.052,40.14,36.8,134.6,7.66
REF_001,reference,43,7.05,40.78,36.8,135.1,7.55
REF_001,reference,44,7.05,40.63,36.84,135.0,7.56
REF_001,reference,45,7.055,40.33,36.78,133.8,7.84
REF_001,reference,46,7.049,40.41,36.77,135.8,8.03
REF_001,reference,47,7.051,40.18,36.78,134.2,8.37
REF_001,reference,48,7.046,40.34,36.81,134.9,8.51
REF_001,reference,49,7.047,41.19,36.75,133.4,8.69
REF_001,reference,50,7.048,37.71,36.81,136.0,9.01
REF_001,reference,51,7.031,39.28,36.78,135.9,9.16
REF_001,reference,52,7.039,39.29,36.83,134.2,9.34
REF_001,reference,53,7.037,39.02,36.72,136.5,9.54
REF_001,reference,54,7.035,38.11,36.77,136.8,9.75
REF_001,reference,55,7.037,36.6,36.74,140.0,9.53
REF_001,reference,56,7.051,37.85,36.77,139.0,9.98
REF_001,reference,57,7.031,38.56,36.8,138.1,9.89
REF_001,reference,58,7.045,35.54,36.79,138.8,10.41
REF_001,reference,59,7.023,37.05,36.79,138.9,10.58
REF_001,reference,60,7.033,35.71,36.79,138.9,10.93
REF_001,reference,61,7.036,35.57,36.8,137.9,11.13
REF_001,reference,62,7.039,34.44,36.77,139.7,11.17
REF_001,reference,63,7.039,34.72,36.82,139.2,11.25
REF_001,reference,64,7.039,35.78,36.82,138.8,11.58
REF_001,reference,65,7.029,34.99,36.81,141.9,11.62
REF_001,reference,66,7.028,35.75,36.81,142.1,11.88
REF_001,reference,67,7.038,35.18,36.8,139.3,12.21
REF_001,reference,68,7.029,34.52,36.86,142.2,12.17
REF_001,reference,69,7.019,35.53,36.79,144.3,12.56
REF_001,reference,70,7.02,34.5,36.79,144.8,12.72
REF_001,reference,71,7.021,34.86,36.77,145.2,12.66
REF_001,reference,72,7.032,34.05,36.76,144.2,13.14
REF_001,reference,73,7.028,34.46,36.76,143.4,13.28
REF_001,reference,74,7.032,33.99,36.77,143.5,13.38
REF_001,reference,75,7.022,35.49,36.79,146.1,13.43
REF_001,reference,76,7.027,33.92,36.81,146.7,13.6
REF_001,reference,77,7.03,35.66,36.8,148.6,13.83
